title1,final_genres
Shazam! (2019) ,Action
Shazam! (2019) ,Adventure
Shazam! (2019) ,Comedy
Shazam! (2019) ,Fantasy
Gemini Man (2019) ,Thriller
Gemini Man (2019) ,Action
Gemini Man (2019) ,Drama
Gemini Man (2019) ,Sci-Fi
After (2019) ,Romance
After (2019) ,Drama
The Curse of La Llorona (2019) ,Mystery
The Curse of La Llorona (2019) ,Thriller
The Curse of La Llorona (2019) ,Horror
Hellboy (2019) ,Action
Hellboy (2019) ,Adventure
Hellboy (2019) ,Sci-Fi
Hellboy (2019) ,Horror
Hellboy (2019) ,Fantasy
Arctic (2018) ,Adventure
Arctic (2018) ,Drama
Men in Black: International (2019) ,Comedy
Men in Black: International (2019) ,Sci-Fi
Men in Black: International (2019) ,Action
Someone Great (2019) ,Comedy
Someone Great (2019) ,Sci-Fi
Someone Great (2019) ,Action
Glass (2019) ,Thriller
Glass (2019) ,Sci-Fi
Glass (2019) ,Drama
Aquaman (2018) ,Action
Aquaman (2018) ,Adventure
Aquaman (2018) ,Sci-Fi
Aquaman (2018) ,Fantasy
BlacKkKlansman (2018) ,Biography
BlacKkKlansman (2018) ,Crime
BlacKkKlansman (2018) ,Drama
The Ten Commandments (1956) ,Adventure
The Ten Commandments (1956) ,Drama
High Life (2018) ,Drama
High Life (2018) ,Adventure
High Life (2018) ,Sci-Fi
High Life (2018) ,Mystery
High Life (2018) ,Horror
Godzilla: King of the Monsters (2019) ,Action
Godzilla: King of the Monsters (2019) ,Adventure
Godzilla: King of the Monsters (2019) ,Sci-Fi
Godzilla: King of the Monsters (2019) ,Fantasy
Dark Phoenix (2019) ,Adventure
Dark Phoenix (2019) ,Action
